,cycle,species,biomass
0,40,Mariniplasma_anaerobium,1.2585316
1,40,Geobacter_metallireducens_strain_GS-15,0.932476599
2,40,Methanosarcina_acetivorans,0.930396071
3,40,Methanobacterium_formicicum,2.794495804
4,40,Magnetospirillum_magneticum,8.872868645
5,40,Tepidimonas_charontis,0.930396071
6,40,Gudongella_oleilytica,1.820869632
7,40,Desulfomicrobium_baculatum,6.796025727
8,40,Parabacteroides_goldsteinii,15.0915076
9,40,Thermincola_ferriacetica,1.860792142
10,40,Dechloromonas_aromatica,0.995940143
11,40,Longilinea_sp.,1.020548133
12,40,Hydrogenophaga_aromaticivorans,7.702804273
13,40,Clostridium_fungisolvens,22.16580445
14,40,Geovibrio_thiophilus,26.82654311
15,41,Mariniplasma_anaerobium,1.214677876
16,41,Geobacter_metallireducens_strain_GS-15,0.867365542
17,41,Methanosarcina_acetivorans,0.93595875
18,41,Methanobacterium_formicicum,2.862406419
19,41,Magnetospirillum_magneticum,8.333572811
20,41,Tepidimonas_charontis,0.946887327
21,41,Gudongella_oleilytica,1.863799407
22,41,Desulfomicrobium_baculatum,6.929447333
23,41,Parabacteroides_goldsteinii,15.16602051
24,41,Thermincola_ferriacetica,1.797711749
25,41,Dechloromonas_aromatica,0.980959706
26,41,Longilinea_sp.,0.997367176
27,41,Hydrogenophaga_aromaticivorans,7.419239172
28,41,Clostridium_fungisolvens,22.84183188
29,41,Geovibrio_thiophilus,26.84275434
30,42,Mariniplasma_anaerobium,1.181556862
31,42,Geobacter_metallireducens_strain_GS-15,0.811554265
32,42,Methanosarcina_acetivorans,0.94382147
33,42,Methanobacterium_formicicum,2.928086759
34,42,Magnetospirillum_magneticum,7.840969731
35,42,Tepidimonas_charontis,0.964227679
36,42,Gudongella_oleilytica,1.904459239
37,42,Desulfomicrobium_baculatum,7.047075634
38,42,Parabacteroides_goldsteinii,15.20521149
39,42,Thermincola_ferriacetica,1.738882203
40,42,Dechloromonas_aromatica,0.966475063
41,42,Longilinea_sp.,0.978388468
42,42,Hydrogenophaga_aromaticivorans,7.145918921
43,42,Clostridium_fungisolvens,23.48613249
44,42,Geovibrio_thiophilus,26.85723972
45,43,Mariniplasma_anaerobium,1.154328843
46,43,Geobacter_metallireducens_strain_GS-15,0.763885068
47,43,Methanosarcina_acetivorans,0.954167971
48,43,Methanobacterium_formicicum,2.991955264
49,43,Magnetospirillum_magneticum,7.391405612
50,43,Tepidimonas_charontis,0.982649851
51,43,Gudongella_oleilytica,1.943154568
52,43,Desulfomicrobium_baculatum,7.150149991
53,43,Parabacteroides_goldsteinii,15.212924
54,43,Thermincola_ferriacetica,1.684257323
55,43,Dechloromonas_aromatica,0.95256942
56,43,Longilinea_sp.,0.962158511
57,43,Hydrogenophaga_aromaticivorans,6.879358973
58,43,Clostridium_fungisolvens,24.10048253
59,43,Geovibrio_thiophilus,26.87655208
60,44,Mariniplasma_anaerobium,1.131649334
61,44,Geobacter_metallireducens_strain_GS-15,0.723187263
62,44,Methanosarcina_acetivorans,0.967081876
63,44,Methanobacterium_formicicum,3.054126996
64,44,Magnetospirillum_magneticum,6.980846566
65,44,Tepidimonas_charontis,1.002277426
