,cycle,cpd01080,cpd00161,cpd00149,cpd00011,cpd00063,cpd00205,cpd00035,cpd00041,cpd00064,cpd00069,cpd00239,cpd00132,cpd00058,cpd00030,cpd00027,cpd04450,cpd00001,cpd00033,cpd00156,cpd00254,cpd00029,cpd00067,cpd00209,cpd00051,cpd15378,cpd00039,cpd00244,cpd01034,cpd00023,cpd00034,cpd10516,cpd00971,cpd10515,cpd04383,cpd00066,cpd00141,cpd00226,cpd00084,cpd00129,cpd00106,cpd00013,cpd01024,cpd01007,cpd00528,cpd00099,cpd00053,cpd00009,cpd00322,cpd00047,cpd00107,cpd00131,cpd00060,cpd00235,cpd00054,cpd00082,cpd00119,cpd00048,cpd00065
0,40,0.024810726,0.0,2499.999701,0.883317897,2499.999701,2499.999701,0.0,0.0,0.0,0.0,2500.015468,0.0,2499.999703,2499.999702,11.79204102,0.741879917,2503.06532,0.050045612,0.0,2499.999701,1.975136834,10000.08527,0.0,0.0,2.22e-06,0.0,2499.999999,0.069640191,0.0,2499.999702,2499.999748,2500,2499.999058,0.226416955,0.0,0.0,0.0,0.0,0.0,0.0,499999.3867,0.28502627,0.110807905,2500.021013,2499.999701,0.0,499999.9406,0.0,4e-05,0.0,2499.999999,0.0,0.0,0.0,0.0,0.0,2499.970896,0.0
1,41,0.046830349,0.298823215,2499.999328,0.887449012,2499.999328,2499.999328,0.28814181,0.323839292,0.0,0.304329103,2500.062531,0.30046294,2499.999334,2499.999333,10.8870633,0.654313718,2506.156065,0.413334284,0.277604972,2499.999328,3.93950946,10000.57476,0.052025466,0.303549605,5.35e-06,0.290230272,2499.999995,0.068355824,0.259004544,2499.999333,2499.999378,2500,2499.997939,0.207708638,0.304099275,0.005221907,0.0,0.304548377,0.269730439,7.53e-05,499998.8319,0.358950039,0.100745439,2500.05334,2499.999328,0.270107075,499999.8643,0.295817559,0.000121,0.299389282,2499.999995,0.233875902,0.0,0.305125943,0.0,0.302714085,2499.977572,0.303489207
2,42,0.062986887,0.578437091,2499.998901,0.902188431,2499.998901,2499.998901,0.544218706,0.648460111,0.0,0.592862912,2500.159107,0.58720482,2499.998914,2499.998912,10.02364086,0.56341683,2509.413627,0.762025892,0.53291247,2499.998901,5.797556981,10001.4893,0.146747025,0.591065974,9.2e-06,0.562255334,2499.999989,0.067147629,0.495034439,2499.998912,2499.998938,2500,2499.996678,0.189900969,0.592322058,0.014176651,0.0,0.593370236,0.518746624,0.000197,499998.2136,0.487052929,0.091948941,2500.09605,2499.998901,0.49918231,499999.7759,0.573699427,0.000144,0.579293405,2499.999989,0.397794822,0.0,0.594709621,0.0,0.589688692,2499.986104,0.591268618
3,43,0.072941324,0.846792318,2499.99843,0.925934436,2499.99843,2499.99843,0.771673931,0.972549799,0.0,0.867621331,2500.288495,0.859072318,2499.99845,2499.998449,9.190907191,0.479249019,2512.846875,1.096796368,0.768471424,2499.99843,7.558951319,10002.79166,0.274928711,0.864655479,1.36e-05,0.818008977,2499.999981,0.061111699,0.711904835,2499.998449,2499.998433,2500,2499.995305,0.174258575,0.866713169,0.026009587,0.0,0.868461003,0.749730833,0.000345,499997.5326,0.666681329,0.078765936,2500.148679,2499.99843,0.69665822,499999.6776,0.835997573,0.000151,0.842094647,2499.999981,0.507523543,0.0,0.870682583,0.0,0.862956216,2499.999842,0.86531393
4,44,0.07578886,1.101239412,2499.997918,0.957469083,2499.997918,2499.997918,0.973201906,1.296184966,0.0,1.130230822,2500.421654,1.117728446,2499.997949,2499.997948,8.395228703,0.410974729,2516.464737,1.442524243,0.986600475,2499.997918,9.099472542,10004.47105,0.449404419,1.125973331,1.85e-05,1.059336711,2499.99997,0.055913139,0.916056396,2499.997948,2499.997878,2500,2499.993823,0.160667349,1.128908734,0.040072745,0.0,1.131438833,0.964522605,0.000507,499996.745,0.895664207,0.066987836,2500.210779,2499.997918,0.867451174,499999.5703,1.084469791,0.000172,1.089635361,2499.99997,0.576052832,0.0,1.134640807,0.0,1.124135636,2500.036701,1.127243105
5,45,0.073859163,1.343474064,2499.997387,0.994940004,2499.997387,2499.997387,1.151229523,1.619210182,0.0,1.382137077,2500.548897,1.364722899,2499.997432,2499.99743,7.691452569,0.355085285,2520.08006,1.803471059,1.198403481,2499.997387,10.27757457,10006.47412,0.655594638,1.376522192,2.39e-05,1.287960488,2499.999957,0.051401654,1.111782176,2499.99743,2499.997296,2500,2499.992296,0.148778429,1.380371644,0.055880308,0.0,1.383733386,1.16469206,0.000676,499995.8711,1.169871327,0.057429831,2500.281986,2499.997387,1.016554438,499999.4581,1.320832699,0.00018,1.314956881,2499.999957,0.614081104,0.0,1.38797151,0.0,1.374651739,2500.097847,1.378572388
6,46,0.071711128,1.578890629,2499.996871,1.029135522,2499.996871,2499.996871,1.307948615,1.938498279,0.0,1.624537166,2500.685063,1.602338832,2499.996929,2499.996927,7.063421855,0.308931658,2523.600728,2.175081177,1.398280477,2499.996871,11.26748924,10008.46327,0.865183183,1.61753031,2.9e-05,1.506652342,2499.999943,0.047458522,1.299730529,2499.996927,2499.996723,2500,2499.990816,0.138312067,1.622314762,0.072751254,0.0,1.626531796,1.35159784,0.00085,499995.0004,1.463268761,0.049599704,2500.362706,2499.996871,1.148005051,499999.3488,1.54766881,0.000182,1.530811533,2499.999943,0.630801956,0.0,1.631833911,0.0,1.615689499,2500.162528,1.620491239
7,47,0.069589085,1.807619015,2499.996367,1.060266751,2499.996367,2499.996367,1.44470124,2.25426522,0.0,1.858031463,2500.826564,1.831170391,2499.99644,2499.996438,6.499676086,0.270549585,2527.047915,2.552094735,1.587139228,2499.996367,12.09797631,10010.43529,1.077967417,1.849601146,3.4e-05,1.715957006,2499.999928,0.044000639,1.478401248,2499.996438,2499.996159,2500,2499.98938,0.129071136,1.855339896,0.090797359,0.0,1.860433551,1.526037231,0.001026859,499994.1296,1.774625496,0.043137345,2500.452339,2499.996367,1.265040985,499999.2421,1.765594151,0.000182,1.737820473,2499.999928,0.63214735,0.0,1.8668249,0.0,1.847851015,2500.228946,1.853594596
8,48,0.070074081,2.029852856,2499.99585,1.096415938,2499.99585,2499.99585,1.56290737,2.566779811,0.0,2.083182274,2501.015549,2.051631552,2499.995939,2499.995938,6.034072686,0.981141418,2530.19698,2.93053892,1.770634364,2499.99585,12.98510459,10012.37375,1.180741684,2.073298348,4.1e-05,1.914125917,2499.999912,0.106895315,1.648089826,2499.995938,2499.995581,2500,2499.987908,0.356027088,2.080010253,0.11059794,0.0,2.086000567,1.68875675,0.001263521,499993.3067,2.102753638,0.145751515,2500.548157,2499.99585,1.369573746,499999.1315,1.975180223,0.00018,1.93655661,2499.999912,0.622753727,0.0,2.093505097,0.0,2.071699735,2500.249079,2.078440579
9,49,0.070074081,2.246622662,2499.995347,1.128699226,2499.995347,2499.995347,1.664756467,2.877026593,0.0,2.301244557,2501.204104,2.265134109,2499.995453,2499.995452,5.611042273,0.869703632,2533.312153,3.307021287,1.940613027,2499.995347,13.70448819,10014.21486,1.310945928,2.289873847,4.76e-05,2.104930475,2499.999896,0.1007356,1.809741517,2499.995452,2499.995012,2500,2499.986482,0.334352714,2.297580474,0.131272305,0.0,2.304488571,1.841538283,0.001423637,499992.4899,2.446599729,0.129567062,2500.641704,2499.995347,1.463831697,499999.0239,2.177731064,0.00016,2.12834646,2499.999896,0.606898361,0.0,2.31313207,0.010805003,2.288508415,2500.26976,2.29627616
10,50,0.06989846,2.45793971,2499.994858,1.157569833,2499.994858,2499.994858,1.751308523,3.185194221,1.66e-05,2.512543047,2501.389657,2.472000835,2499.994982,2499.99498,5.225795644,0.774418461,2536.413642,3.678083393,2.104652154,2499.994858,14.32279615,10015.96717,1.462643188,2.499633924,5.39e-05,2.288827087,2499.999878,0.09520332,1.966656481,2499.99498,2499.994423,2500,2499.985133,0.314840981,2.50837522,0.15262624,0.0,2.516222749,1.984769113,0.001483763,499991.6815,2.805111204,0.115769036,2500.733311,2499.994858,1.545574597,499998.9194,2.373671307,0.000156,2.313669637,2499.999878,0.58688004,5.07e-05,2.52603204,0.011873654,2.498643161,2500.291602,2.507422188
