,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
788,41,0,0,0,0,0.0,0,0,0,0,0,-0.000176,0,0,0.0,0.022221873,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000176,0,0,0,0,0,0,0,-0.004846373,0,0,0.0,0,0,0,0.0,2.41491166,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000176,-0.796687482,0,0.0,0.0,0,0.0,0,0,-0.02760285,0,0,1e-05,0.0,0.0,-0.166712364,-0.000176,0,0,0,0.0,1e-05,0,0,0.0,-0.000176,0.0,0,0,-0.000529,0,1.975136834,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.000176,0,-0.000176,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-0.000176,0,0.0,0,0.022221873,0.022221873,0.022221873,0,0,-0.000176,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
802,42,0,0,0,0,0.0,0,0,0,0,0,-0.000188,0,0,0.0,0.023696916,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000188,0,0,0,0,0,0,0,0.064371468,0,0,0.0,0,0,0,0.0,2.32965095,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000188,-0.778745492,0,-0.02532712,0.0,0,0.0,0,0,-0.029435071,0,0,1e-05,0.0,0.0,-0.080328987,-0.000188,0,0,0,0.0,8.84e-07,0,0,0.0,-0.000188,0.0,0,0,-0.000564,0,2.138043369,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.000188,0,-0.000188,0.0,0,0.0,-0.001291377,0,0,0.0,0.0,0,0,0.0,0,-0.000188,0,-0.069539534,0,0.023696916,0.023696916,0.023696916,0,0,-0.000188,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
816,43,0,0,0,0,0.0,0,0,0,0,0,-0.000196,0,0,0.0,0.024745341,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000196,0,0,0,0,0,0,0,0.117427553,0,0,0.0,0,0,0,0.0,2.282117532,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000196,-0.754640165,0,-0.026447671,0.0,0,0.0,0,0,-0.030737371,0,0,1e-05,0.0,0.0,-0.033674904,-0.000196,0,0,0,0.0,-1.84e-05,0,0,0.0,-0.000196,0.0,0,0,-0.000589,0,2.182488817,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.000196,0,-0.000196,0.0,0,0.0,-0.001348511,0,0,0.0,0.0,0,0,0.0,0,-0.000196,0,-0.12282427,0,0.024745341,0.024745341,0.024745341,0,0,-0.000196,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
830,44,0,0,0,0,0.0,0,0,0,0,0,-0.000204,0,0,0.0,0.025668063,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000204,0,0,0,0,0,0,0,0.156816416,0,0,0.0,0,0,0,0.0,2.262190199,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000204,-0.741886567,0,-0.02743387,0.0,0,0.0,0,0,-0.031883528,0,0,1e-05,0.0,0.0,0.0,-0.000204,0,0,0,0.0,-2.46e-05,0,0,0.0,-0.000204,0.0,0,0,-0.000611,0,2.228640312,0,0,0.0,0,0.0,0,0,7.95e-05,0,0,0,0,0.0,0.0,0,0,-0.000204,0,-0.000204,0.0,0,0.0,-0.001398795,0,0,0.0,0.0,0,0,0.0,0,-0.000204,0,-0.16241437,0,0.025668063,0.025668063,0.025668063,0,0,-0.000204,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
844,45,0,0,0,0,0.0,0,0,0,0,0,-0.00021,0,0,0.0,0.026429523,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.00021,0,0,0,0,0,0,0,0.184919707,0,0,0.0,0,0,0,0.0,2.258947966,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.00021,-0.720903061,0,-0.028247714,0.0,0,0.0,0,0,-0.032829373,0,0,1e-05,0.0,0.0,0.0,-0.00021,0,0,0,0.0,-2.72e-05,0,0,0.0,-0.00021,0.0,0,0,-0.00063,0,2.200956128,0,0,0.0,0,0.0,0,0,0.023533136,0,0,0,0,0.0,0.0,0,0,-0.00021,0,-0.00021,0.0,0,0.0,-0.001440292,0,0,0.0,0.0,0,0,0.0,0,-0.00021,0,-0.190683727,0,0.026429523,0.026429523,0.026429523,0,0,-0.00021,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
858,46,0,0,0,0,0.0,0,0,0,0,0,-0.000201,0,0,0.0,0.025293294,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000201,0,0,0,0,0,0,0,0.204290403,0,0,0.0,0,0,0,0.0,2.079879283,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000201,-0.639828918,0,-0.02703332,0.0,0,0.0,0,0,-0.03141801,0,0,1e-05,0.0,0.0,0.0,-0.000201,0,0,0,0.0,-3.36e-05,0,0,0.0,-0.000201,0.0,0,0,-0.000602,0,1.997073824,0,0,0.0,0,0.0,0,0,0.049841982,0,0,0,0,0.0,0.0,0,0,-0.000201,0,-0.000201,0.0,0,0.0,-0.001378372,0,0,0.0,0.0,0,0,0.0,0,-0.000201,0,-0.209806623,0,0.025293294,0.025293294,0.025293294,0,0,-0.000201,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
872,47,0,0,0,0,0.0,0,0,0,0,0,-0.00019,0,0,0.0,0.023906548,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.00019,0,0,0,0,0,0,0,0.216422136,0,0,0.0,0,0,0,0.0,1.895853797,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.00019,-0.561976679,0,-0.025551174,0.0,0,0.0,0,0,-0.029695466,0,0,1e-05,0.0,0.0,0.0,-0.00019,0,0,0,0.0,-3.65e-05,0,0,0.0,-0.00019,0.0,0,0,-0.000569,0,1.794263788,0,0,0.0,0,0.0,0,0,0.070441603,0,0,0,0,0.0,0.0,0,0,-0.00019,0,-0.00019,0.0,0,0.0,-0.001302801,0,0,0.0,0.0,0,0,0.0,0,-0.00019,0,-0.221635921,0,0.023906548,0.023906548,0.023906548,0,0,-0.00019,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
886,48,0,0,0,0,0.0,0,0,0,0,0,-0.000179,0,0,0.0,0.02258905,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000179,0,0,0,0,0,0,0,0.223207113,0,0,0.0,0,0,0,0.0,1.735239294,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000179,-0.496702704,0,-0.02414304,0.0,0,0.0,0,0,-0.028058938,0,0,1e-05,0.0,0.0,0.0,-0.000179,0,0,0,0.0,-3.79e-05,0,0,0.0,-0.000179,0.0,0,0,-0.000538,0,1.620541118,0,0,0.0,0,0.0,0,0,0.085271618,0,0,0,0,0.0,0.0,0,0,-0.000179,0,-0.000179,0.0,0,0.0,-0.001231003,0,0,0.0,0.0,0,0,0.0,0,-0.000179,0,-0.228133564,0,0.02258905,0.02258905,0.02258905,0,0,-0.000179,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
900,49,0,0,0,0,0.0,0,0,0,0,0,-0.000169,0,0,0.0,0.021336222,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000169,0,0,0,0,0,0,0,0.225903648,0,0,0.0,0,0,0,0.0,1.593774354,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000169,-0.441517202,0,-0.022804025,0.0,0,0.0,0,0,-0.026502741,0,0,1e-05,0.0,0.0,0.0,-0.000169,0,0,0,0.0,-3.87e-05,0,0,0.0,-0.000169,0.0,0,0,-0.000508,0,1.470365735,0,0,0.0,0,0.0,0,0,0.095618292,0,0,0,0,0.0,0.0,0,0,-0.000169,0,-0.000169,0.0,0,0.0,-0.001162729,0,0,0.0,0.0,0,0,0.0,0,-0.000169,0,-0.230556869,0,0.021336222,0.021336222,0.021336222,0,0,-0.000169,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1064,50,0,0,0,0,0.0,0,0,0,0,0,-0.000161,0,0,0.0,0.020259026,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.000161,0,0,0,0,0,0,0,0.225539024,0,0,0.0,0,0,0,0.0,1.480190352,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000161,-0.398986991,0,-0.021652725,0.0,0,0.0,0,0,-0.025164705,0,0,1e-05,0.0,0.0,0.0,-0.000161,0,0,0,0.0,-3.93e-05,0,0,0.0,-0.000161,0.0,0,0,-0.000483,0,1.351975183,0,0,0.0,0,0.0,0,0,0.10183135,0,0,0,0,0.0,0.0,0,0,-0.000161,0,-0.000161,0.0,0,0.0,-0.001104027,0,0,0.0,0.0,0,0,0.0,0,-0.000161,0,-0.22995732,0,0.020259026,0.020259026,0.020259026,0,0,-0.000161,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
