,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
783,41,0,0,0,0,0.0,0,0,0,0,0,-2.22e-06,0,0,-0.001614504,0.000716,0.0,0,0,0,2.22e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000902,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.002497814,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.22e-06,0,0,0,0,0,0,0,0.00263409,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.22e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000579,0,0,0.000716,0.0,0.0,-0.00613385,-2.22e-06,0,0,0,-0.002793462,-1e-05,0,0,0.0,0.0,0.0,0,0,-8.87e-06,0,0.0,0,0,-0.00121786,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.22e-06,0,-2.22e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000705,0,0,0.0,0,-2.22e-06,0,0.0,0,0.000716,0.000716,0.000716,0,0,-2.22e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
798,42,0,0,0,0,0.0,0,0,0,0,0,-3.13e-06,0,0,-0.006298993,0.001011691,0.0,0,0,0,3.13e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001299793,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-3.13e-06,0,0,0,0,0,0,0,0.00343867,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-3.13e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000818,0,0,0.001011691,-0.000203,0.0,-0.007680729,-3.13e-06,0,0,0,-0.003663798,-1e-05,0,0,0.0,0.0,0.0,0,0,-1.25e-05,0,0.0,0,0,-0.001084603,0,-0.000289,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-3.13e-06,0,-3.13e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000682,0,0,0.0,0,-3.13e-06,0,0.0,0,0.001011691,0.001011691,0.001011691,0,0,-3.13e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
812,43,0,0,0,0,0.0,0,0,0,0,0,-3.85e-06,0,0,-0.006302387,0.001243301,0.0,0,0,0,3.85e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001524209,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.001703123,0,0,0,0,0,0,0,0,0,-0.000501,0,0,-3.85e-06,0,0,0,0,0,0,0,0.00381463,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-3.85e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001005691,0,0,0.001243301,-0.00025,0.0,-0.008937988,-3.85e-06,0,0,0,-0.004091297,-1e-05,0,0,0.0,0.0,0.0,0,0,-1.54e-05,0,0.0,0,0,-0.00097,0,-0.000355,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-3.85e-06,0,-3.85e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000658,0,0,0.0,0,-3.85e-06,0,0.0,0,0.001243301,0.001243301,0.001243301,0,0,-3.85e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
826,44,0,0,0,0,0.0,0,0,0,0,0,-4.47e-06,0,0,-0.005342209,0.0014439,0.0,0,0,0,4.47e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001716433,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.001800604,0,0,0,0,0,0,0,0,0,-0.001391427,0,0,-4.47e-06,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.003508273,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-4.47e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001167953,0,0,0.0014439,-0.00029,0.0,-0.00957062,-4.47e-06,0,0,0,-0.000321,-1e-05,0,0,0.0,-4.47e-06,0.0,0,0,-1.34e-05,0,-0.009348055,0,0,-0.000872,0,-0.000412,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-4.47e-06,0,-4.47e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000637,0,0,0.0,0,-4.47e-06,0,0.0,0,0.0014439,0.0014439,0.0014439,0,0,-4.47e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
840,45,0,0,0,0,0.0,0,0,0,0,0,-5.03e-06,0,0,-0.004475256,0.001625276,0.0,0,0,0,5.03e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000906,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.001627237,0,0,0,0,0,0,0,0,0,-0.0025673,0,0,-5.03e-06,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.008538437,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5.03e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001314666,0,0,0.001625276,-0.000326,0.0,-0.009771748,-5.03e-06,0,0,0,-0.000362,-1e-05,0,0,0.0,0.0,0.0,0,0,-2.01e-05,0,-0.010291044,0,0,-0.000736,0,-0.000464,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.03e-06,0,-5.03e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000571,0,0,0.0,0,-5.03e-06,0,0.0,0,0.001625276,0.001625276,0.001625276,0,0,-5.03e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
854,46,0,0,0,0,0.0,0,0,0,0,0,-5.5e-06,0,0,-0.003781477,0.001777644,0.0,0,0,0,5.5e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06e-05,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.001478339,0,0,0,0,0,0,0,0,0,-0.004135078,0,0,-5.5e-06,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.012121983,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5.5e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001437914,0,0,0.001777644,-0.000357,0.0,-0.009360739,-5.5e-06,0,0,0,-0.000396,-1e-05,0,0,0.0,0.0,0.0,0,0,-2.2e-05,0,-0.009756899,0,0,-0.000616,0,-0.000507,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.5e-06,0,-5.5e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000514,0,0,0.0,0,-5.5e-06,0,0.0,0,0.001777644,0.001777644,0.001777644,0,0,-5.5e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
868,47,0,0,0,0,0.0,0,0,0,0,0,-5.24e-06,0,0,-0.003221678,0.001691179,0.0,0,0,0,5.24e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000144,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.001349862,0,0,0,0,0,0,0,0,0,-0.004629698,0,0,-5.24e-06,0,0,0,0,0,0,0,-0.000376,0,0,0.0,0,0,0,0.0,0.011936137,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5.24e-06,0.0,0,0.0,-0.000507,0,0.0,0,0,-0.001367974,0,0,0.001691179,-0.00034,0.0,-0.008209685,-5.24e-06,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-2.09e-05,0,-0.008455467,0,0,-0.000521,0,-0.000483,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.24e-06,0,-5.24e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000466,0,0,0.0,0,-5.24e-06,0,0.0,0,0.001691179,0.001691179,0.001691179,0,0,-5.24e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
882,48,0,0,0,0,0.0,0,0,0,0,0,-5e-06,0,0,-0.002761099,0.001613957,0.0,0,0,0,5e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000137,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.001236174,0,0,0,0,0,0,0,0,0,-0.003875433,0,0,-5e-06,0,0,0,0,0,0,0,-0.000359,0,0,0.0,0,0,0,0.0,0.012990928,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5e-06,0.0,0,0.0,-0.00065,0,0.0,0,0,-0.001305511,0,0,0.001613957,-0.000324,0.0,-0.008377683,-5e-06,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-2e-05,0,-0.009516756,0,0,-0.000443,0,-0.000461,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5e-06,0,-5e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000424,0,0,0.0,0,-5e-06,0,0.0,0,0.001613957,0.001613957,0.001613957,0,0,-5e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
896,49,0,0,0,0,0.0,0,0,0,0,0,-7.01e-06,0,0,-0.006785892,0.002262556,0.0,0,0,0,7.01e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000485,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.003343705,0,0,0,0,0,0,0,0,0,-0.00948212,0,0,-7.01e-06,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.01e-06,0.000417,0,0.0,0.0,0,0.0,0,0,-0.001830154,0,0,0.002262556,-0.000454,0.0,-0.007695137,-7.01e-06,0,0,0,-0.000503,-1e-05,0,0,0.0,0.0,0.0,0,0,-2.8e-05,0,0.0,0,0,-0.001456178,0,-0.000646,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.01e-06,0,-7.01e-06,0.0,0,0.0,0.0,0,0,0.0,-0.001010128,0,0,0.0,0,-7.01e-06,0,0.0,0,0.002262556,0.002262556,0.002262556,0,0,-7.01e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1060,50,0,0,0,0,0.0,0,0,0,0,0,-6.62e-06,0,0,-0.007854901,0.002138542,0.0,0,0,0,6.62e-06,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.003105333,0,0,0,0,0,0,0,0,0,-0.010298642,0,0,-6.62e-06,0,0,0,0,0,0,0,-0.000132,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.62e-06,0.001127386,0,0.0,0.0,0,0.0,0,0,-0.001729841,0,0,0.002138542,-0.000429,0.0,-0.005937105,-6.62e-06,0,0,0,-0.000344,-1e-05,0,0,0.0,0.0,0.0,0,0,-2.65e-05,0,0.0,0,0,0.0,0,-0.00061,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.62e-06,0,-6.62e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-6.62e-06,0,0.0,0,0.002138542,0.002138542,0.002138542,0,0,-6.62e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
