,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
1071,51,0,0,0,0,0.0,0,0,0,0,0,-2.09e-07,0,0,0.0,6.74e-05,0.0,0,0,0,0.0,0,0,0,-2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87e-06,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000192,0,0,0.0,0,0,0,0,0,0,0,-0.000262,0,0,0.0,0,0,0,0.0,0.000962,0,0,0,0,0,0,0,-3.1e-05,-0.00011,0,5.07e-05,0,0,0,0,0,0,0,0,0,-2.09e-07,0.0,0,0.0,0.0,0,0.0,0,0,-0.000101,0,0,8.74e-05,0.0,0.0,-0.00022,-2.09e-07,0,0,0,0.000248,-1e-05,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-1.92e-05,0,0,0.0,0,0,0,0,-2.37e-05,0.0,0,0,-2.09e-07,0,-2.09e-07,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.66e-05,0,-2.09e-07,0,0.0,0,6.74e-05,6.74e-05,6.74e-05,0,0,0.0,0.0,0,0,-1.66e-05,0,0.0,0,0,0,0,0,0.0,0,0,-0.000313,0,0,0
1086,52,0,0,0,0,0.0,0,0,0,0,0,-2.34e-07,0,0,0.0,7.56e-05,0.0,0,0,0,0.0,0,0,0,-2.47e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.22e-06,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.000233,0,0,0.0,0,0,0,0,0,0,0,-0.000308,0,0,0.0,0,0,0,0.0,0.001093902,0,0,0,0,0,0,0,-3.48e-05,-0.000116,0,5.84e-05,0,0,0,0,0,0,0,0,0,-2.34e-07,0.0,0,0.0,0.0,0,0.0,0,0,-0.000117,0,0,9.56e-05,0.0,0.0,-0.000235,-2.34e-07,0,0,0,0.000292,-1e-05,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-2.16e-05,0,0,0.0,0,0,0,0,-2.66e-05,0.0,0,0,-2.34e-07,0,-2.34e-07,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.87e-05,0,-2.34e-07,0,0.0,0,7.56e-05,7.56e-05,7.56e-05,0,0,0.0,0.0,0,0,-1.87e-05,0,0.0,0,0,0,0,0,0.0,0,0,-0.00036,0,0,0
1101,53,0,0,0,0,0.0,0,0,0,0,0,-1.57e-07,0,0,0.0,5.08e-05,0.0,0,0,0,0.0,0,0,0,-1.66e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16e-06,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6.5e-05,0,0,0.0,0,0,0,0,0,0,0,-0.000137,0,0,0.0,0,0,0,0.0,0.00074,0,0,0,0,0,0,0,-2.34e-05,-0.000125,0,3.94e-05,0,0,0,0,0,0,0,0,0,-1.57e-07,0.0,0,0.0,0.0,0,0.0,0,0,-7.88e-05,0,0,7.08e-05,0.0,0.0,-0.00025,-1.57e-07,0,0,0,0.000126,-1e-05,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-1.45e-05,0,0,0.0,0,0,0,0,-1.81e-05,0.0,0,0,-1.57e-07,0,-1.57e-07,0.0,0,0.0,0.0,0,0,1.56e-05,0.0,0,0,1.25e-05,0,-1.57e-07,0,0.0,0,5.08e-05,5.08e-05,5.08e-05,0,0,0.0,0.0,0,0,-1.25e-05,0,0.0,0,0,0,0,0,0.0,0,0,-0.000212,0,0,0
1116,54,0,0,0,0,0.0,0,0,0,0,0,-8.63e-08,0,0,0.0,2.79e-05,0.0,0,0,0,0.0,0,0,0,-9.12e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19e-06,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,-6.68e-05,0,0,0.0,0,0,0,0.0,0.000283,0,0,0,0,0,0,0,-1.28e-05,-0.000136,0,1.95e-05,0,0,0,0,0,0,0,0,0,-8.63e-08,0.0,0,0.0,0.0,0,0.0,0,0,-3.9e-05,0,0,2.79e-05,0.0,0.0,-0.000172,-8.63e-08,0,0,0,6.08e-05,1e-05,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-7.96e-06,0,0,0.0,0,0,0,0,-9.82e-06,0.0,0,0,-8.63e-08,0,-8.63e-08,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.88e-06,0,-8.63e-08,0,0.0,0,2.79e-05,2.79e-05,2.79e-05,0,0,0.0,0.0,0,0,-6.88e-06,0,0.0,0,0,0,0,0,0.0,0,0,-6.29e-05,0,0,0
1131,55,0,0,0,0,0.0,0,0,0,0,0,-4.55e-08,0,0,0.0,1.47e-05,0.0,0,0,0,0.0,0,0,0,-4.81e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,-5.11e-05,0,0,0.0,0,0,0,0.0,5.69e-05,0,0,0,0,0,0,0,-6.77e-06,-0.000126,0,1.04e-05,0,0,0,0,0,0,0,0,0,-4.55e-08,0.0,0,0.0,0.0,0,0.0,0,0,-2.08e-05,0,0,3.47e-05,0.0,0.0,-9.03e-05,-4.55e-08,0,0,0,4.79e-05,1e-05,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-4.2e-06,0,0,0.0,0,0,0,0,-5.22e-06,0.0,0,0,-4.55e-08,0,-4.55e-08,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,3.63e-06,0,-4.55e-08,0,0.0,0,1.47e-05,1.47e-05,1.47e-05,0,0,0.0,0.0,0,0,-3.63e-06,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1146,56,0,0,0,0,0.0,0,0,0,0,0,-2.41e-08,0,0,0.0,7.78e-06,0.0,0,0,0,0.0,0,0,0,-2.54e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,-2.17e-05,0,0,0.0,0,0,0,0.0,3.07e-05,0,0,0,0,0,0,0,-3.58e-06,-6.81e-05,0,5.26e-06,0,0,0,0,0,0,0,0,0,-2.41e-08,0.0,0,0.0,0.0,0,0.0,0,0,-1.05e-05,0,0,2.78e-05,0.0,0.0,-4.57e-05,-2.41e-08,0,0,0,2e-05,1e-05,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-2.22e-06,0,0,0.0,0,0,0,0,-2.74e-06,0.0,0,0,-2.41e-08,0,-2.41e-08,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.92e-06,0,-2.41e-08,0,0.0,0,7.78e-06,7.78e-06,7.78e-06,0,0,0.0,0.0,0,0,-1.92e-06,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1161,57,0,0,0,0,0.0,0,0,0,0,0,-1.15e-08,0,0,0.0,3.72e-06,-7.09e-07,0,0,0,0.0,0,0,0,-1.21e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,-5.97e-06,0,0,0.0,0,0,0,0.0,1.51e-05,0,0,0,0,0,0,0,-1.71e-06,-3.57e-05,0,2.51e-06,0,0,0,0,0,0,0,0,0,-1.15e-08,0.0,0,0.0,0.0,0,0.0,0,0,-5.03e-06,0,0,2.37e-05,0.0,0.0,-2.04e-05,-1.15e-08,0,0,0,5.18e-06,1e-05,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-1.06e-06,0,0,0.0,0,0,0,0,-1.31e-06,0.0,0,0,-1.15e-08,0,-1.15e-08,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,9.17e-07,0,-1.15e-08,0,0.0,0,3.72e-06,3.72e-06,3.72e-06,0,0,0.0,0.0,0,0,-9.17e-07,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1176,58,0,0,0,0,0.0,0,0,0,0,0,-6.25e-10,0,0,0.0,2.02e-07,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-1.65e-07,-1.22e-06,0,0.0,0,0,0,0,0,0,0,0,0,-6.25e-10,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,1.87e-06,0.0,0.0,0.0,-6.25e-10,0,0,0,0.0,-1.3e-06,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-5.76e-08,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.25e-10,0,-6.25e-10,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-6.25e-10,0,0.0,0,2.02e-07,2.02e-07,2.02e-07,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1191,59,0,0,0,0,0.0,0,0,0,0,0,-2.43e-09,0,0,0.0,7.86e-07,-1.5e-07,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-3.62e-07,-5.79e-06,0,0.0,0,0,0,0,0,0,0,0,0,-2.43e-09,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2.82e-06,0.0,0.0,-3.04e-06,-2.43e-09,0,0,0,0.0,8.7e-06,0,0,0.0,0.0,0.0,0,0,-7.3e-09,0,0.0,0,0,0.0,0,-2.24e-07,0,0,0.0,0,0,0,0,-2.77e-07,0.0,0,0,-2.43e-09,0,-2.43e-09,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.43e-09,0,0.0,0,7.86e-07,7.86e-07,7.86e-07,0,0,0.0,0.0,0,0,-1.94e-07,0,0.0,0,0,0,0,0,0.0,0,0,-7.09e-07,0,0,0
1221,60,0,0,0,0,0.0,0,0,0,0,0,-3.78e-14,0,0,0.0,1.22e-11,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-3.78e-14,0.0,0,0.0,-6.99e-11,0,0.0,0,0,0.0,0,0,6.96e-12,0.0,0.0,0.0,-3.78e-14,0,0,0,0.0,3.3e-11,0,0,0.0,0.0,0.0,0,0,0.0,0,-1.35e-11,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-3.78e-14,0,-3.78e-14,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-3.78e-14,0,0.0,0,1.22e-11,1.22e-11,1.22e-11,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
