,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
781,41,0,0,0,0,0.0,0,0,0,0,0,-6.48e-07,0,0,0.0,0.000209,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.48e-07,0,0,0,0,0,0,0,0.000687,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.48e-07,0.0,0,0.0,0.0,0,0.0,0,0,-0.00017,0,0,0.000209,0.0,0.0,-0.001794165,-6.48e-07,0,0,0,-0.000734,-1e-05,0,0,0.0,0.0,0.0,0,0,-2.59e-06,0,0.0,0,0,-0.001145901,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.48e-07,0,-6.48e-07,0.0,0,0.0,0.0,0,0,0.0,-0.00049,0,0,0.0,0,-6.48e-07,0,0.0,0,0.000209,0.000209,0.000209,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
790,42,0,0,0,0,0.0,0,0,0,0,0,-2.77e-06,0,0,0.0,0.000894,0.0,0,0,0,-5.29e-14,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.000168,0,0,-2.77e-06,0,0,0,0,0,0,0,-0.000199,0,0,0.0,0,0,0,0.0,0.012839327,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.77e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000726,0,0,0.000914,0.0,0.0,-0.007318621,-2.77e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-1.11e-05,0,-0.012306557,0,0,-0.000959,0,-0.000255,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.77e-06,0,-2.77e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000603,0,0,0.0,0,-2.77e-06,0,0.0,0,0.000894,0.000894,0.000894,0,0,-2.77e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
804,43,0,0,0,0,0.0,0,0,0,0,0,-4.57e-06,0,0,0.0,0.001474279,0.0,0,0,0,1.59e-14,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.001477282,0,0,-4.57e-06,0,0,0,0,0,0,0,-0.000328,0,0,0.0,0,0,0,0.0,0.025288786,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-4.57e-06,0.0,0,0.0,-4.2e-05,0,0.0,0,0,-0.001197091,0,0,0.001494279,0.0,0.0,-0.013271253,-4.57e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-1.83e-05,0,-0.024093259,0,0,-0.00081,0,-0.000421,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-4.57e-06,0,-4.57e-06,0.0,0,0.0,0.0,0,0,0.0,-0.00055,0,0,0.0,0,-4.57e-06,0,0.0,0,0.001474279,0.001474279,0.001474279,0,0,-4.57e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
818,44,0,0,0,0,0.0,0,0,0,0,0,-6.04e-06,0,0,0.0,0.001949832,0.0,0,0,0,-6.92e-08,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.002541898,0,0,-6.04e-06,0,0,0,0,0,0,0,-0.000434,0,0,0.0,0,0,0,0.0,0.035477568,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.04e-06,0.0,0,0.0,-0.000107,0,0.0,0,0,-0.001583233,0,0,0.001969832,0.0,0.0,-0.018140211,-6.04e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-2.42e-05,0,-0.033702018,0,0,-0.000691,0,-0.000557,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.04e-06,0,-6.04e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000505,0,0,0.0,0,-6.04e-06,0,0.0,0,0.001949832,0.001949832,0.001949832,0,0,-6.04e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
832,45,0,0,0,0,0.0,0,0,0,0,0,-7.23e-06,0,0,0.0,0.002335664,0.0,0,0,0,-9.62e-08,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.003475254,0,0,-7.23e-06,0,0,0,0,0,0,0,-0.00052,0,0,0.0,0,0,0,0.0,0.043991686,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.23e-06,0.0,0,0.0,-0.000184,0,0.0,0,0,-0.001896522,0,0,0.002355664,0.0,0.0,-0.022160154,-7.23e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-2.89e-05,0,-0.041701226,0,0,-0.000557,0,-0.000667,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.23e-06,0,-7.23e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000432,0,0,0.0,0,-7.23e-06,0,0.0,0,0.002335664,0.002335664,0.002335664,0,0,-7.23e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
846,46,0,0,0,0,0.0,0,0,0,0,0,-8.11e-06,0,0,0.0,0.002620596,0.0,0,0,0,-1.24e-07,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.004171503,0,0,-8.11e-06,0,0,0,0,0,0,0,-0.000583,0,0,0.0,0,0,0,0.0,0.05031994,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-8.11e-06,0.0,0,0.0,-0.000268,0,0.0,0,0,-0.002127883,0,0,0.002640596,0.0,0.0,-0.025135814,-8.11e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-3.25e-05,0,-0.0476123,0,0,-0.000448,0,-0.000748,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-8.11e-06,0,-8.11e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000374,0,0,0.0,0,-8.11e-06,0,0.0,0,0.002620596,0.002620596,0.002620596,0,0,-8.11e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
860,47,0,0,0,0,0.0,0,0,0,0,0,-7.6e-06,0,0,0.0,0.002455157,0.0,0,0,0,-1.52e-07,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00395727,0,0,-7.6e-06,0,0,0,0,0,0,0,-0.000546,0,0,0.0,0,0,0,0.0,0.047379458,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.6e-06,0.0,0,0.0,-0.000356,0,0.0,0,0,-0.001993549,0,0,0.002475157,0.0,0.0,-0.023598098,-7.6e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-3.04e-05,0,-0.044695746,0,0,-0.000365,0,-0.000701,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.6e-06,0,-7.6e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000327,0,0,0.0,0,-7.6e-06,0,0.0,0,0.002455157,0.002455157,0.002455157,0,0,-7.6e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
874,48,0,0,0,0,0.0,0,0,0,0,0,-7.13e-06,0,0,0.0,0.002301902,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.003743992,0,0,-7.13e-06,0,0,0,0,0,0,0,-0.000512,0,0,0.0,0,0,0,0.0,0.044605801,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.13e-06,0.0,0,0.0,-0.00044,0,0.0,0,0,-0.001869109,0,0,0.002321902,0.0,0.0,-0.022158807,-7.13e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-2.85e-05,0,-0.041943642,0,0,-0.0003,0,-0.000657,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.13e-06,0,-7.13e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000287,0,0,0.0,0,-7.13e-06,0,0.0,0,0.002301902,0.002301902,0.002301902,0,0,-7.13e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
888,49,0,0,0,0,0.0,0,0,0,0,0,-7.14e-06,0,0,0.0,0.002306029,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.002716594,0,0,-7.14e-06,0,0,0,0,0,0,0,-0.000513,0,0,0.0,0,0,0,0.0,0.041196159,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.14e-06,0.0,0,0.0,-0.000522,0,0.0,0,0,-0.00187246,0,0,0.002326029,0.0,0.0,-0.021164425,-7.14e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-2.86e-05,0,-0.038641884,0,0,-0.000951,0,-0.000658,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.14e-06,0,-7.14e-06,0.0,0,0.0,0.0,0,0,0.0,-0.00066,0,0,0.0,0,-7.14e-06,0,0.0,0,0.002306029,0.002306029,0.002306029,0,0,-7.14e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1052,50,0,0,0,0,0.0,0,0,0,0,0,-6.69e-06,0,0,0.0,0.002158974,0.0,0,0,0,-1.14e-13,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.002636504,0,0,-6.69e-06,0,0,0,0,0,0,0,-0.00048,0,0,0.0,0,0,0,0.0,0.038967943,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.69e-06,0.0,0,0.0,-0.000605,0,0.0,0,0,-0.001753053,0,0,0.002178974,0.0,0.0,-0.019907919,-6.69e-06,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-2.67e-05,0,-0.036402575,0,0,-0.000797,0,-0.000616,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.69e-06,0,-6.69e-06,0.0,0,0.0,0.0,0,0,0.0,-0.000584,0,0,0.0,0,-6.69e-06,0,0.0,0,0.002158974,0.002158974,0.002158974,0,0,-6.69e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
