,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
787,41,0,0,0,0,0.0,0,0,0,0,0,-6.36e-05,0,0,-0.063336086,0.020544572,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023801049,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.36e-05,0,0,0,0,0,0,0,-0.004571716,0,0,0.0,0,0,0,0.0,0.399277921,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.36e-05,-0.12920888,0,0.0,0.0,0,0.0,0,0,-0.016681871,0,0,0.0,0.0,0.0,-0.226126985,-6.36e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000254,0,0.0,0,0,-0.009235503,0,0.0,0,0,0.050045612,0,0,0,0,0.0,0.0,0,0,-6.36e-05,0,-6.36e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-6.36e-05,0,0.0,0,0.020544572,0.020544572,0.020544572,0,0,-6.36e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
800,42,0,0,0,0,0.0,0,0,0,0,0,-7.39e-05,0,0,-0.053687705,0.023876786,0.0,0,0,0,0.0,0,0,0,-0.005773371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02071983,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-7.39e-05,0,0,0,0,0,0,0,-0.005313223,0,0,-0.00189256,0,0,0,0.0,0.37397713,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.39e-05,-0.111134253,0,0.0,0.0,0,0.0,0,0,-0.019387576,0,0,0.0,0.0,0.0,-0.17603847,-7.39e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000296,0,0.0,0,0,-0.008018848,0,-0.006815343,0,0,0.058162729,0,0,0,0,-0.017521143,0.0,0,0,-7.39e-05,0,-7.39e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.39e-05,0,0.0,0,0.023876786,0.023876786,0.023876786,0,0,-7.39e-05,0.0,0,0,0.0,0,-0.022081082,0,0,0,0,0,0.0,0,0,0.0,0,0,0
814,43,0,0,0,0,0.0,0,0,0,0,0,-7.51e-05,0,0,-0.045565771,0.024264807,0.0,0,0,0,0.0,0,0,0,-0.005867194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014632328,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.003623003,0,0,-7.51e-05,0,0,0,0,0,0,0,-0.005399568,0,0,-0.001923316,0,0,0,0.0,0.333818536,0,0,0,0,0,0,0,0.0,-5.25e-06,0,0.0,0,0,0,0,0,0,0,0,0,-7.51e-05,-0.093009728,0,0.0,0.0,0,0.0,0,0,-0.019702643,0,0,0.0,0.0,0.0,-0.142203467,-7.51e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000301,0,0.0,0,0,-0.007015814,0,-0.006926099,0,0,0.05910793,0,0,0,0,-0.017805879,0.0,0,0,-7.51e-05,0,-7.51e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.51e-05,0,0.0,0,0.024264807,0.024264807,0.024264807,0,0,-7.51e-05,0.0,0,0,0.0,0,-0.03897632,0,0,0,0,0,0.0,0,0,0.0,0,0,0
828,44,0,0,0,0,0.0,0,0,0,0,0,-7.46e-05,0,0,-0.037758421,0.024104722,0.0,0,0,0,0.0,0,0,0,-0.005828486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008238004,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.009834523,0,0,-7.46e-05,0,0,0,0,0,0,0,-0.005363945,0,0,-0.001910627,0,0,0,0.0,0.287997579,0,0,0,0,0,0,0,0.0,-1.32e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.46e-05,-0.073289343,0,0.0,0.0,0,0.0,0,0,-0.019572656,0,0,0.0,0.0,0.0,-0.108571286,-7.46e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000299,0,0.0,0,0,-0.006162128,0,-0.006880404,0,0,0.058717968,0,0,0,0,-0.017688406,0.0,0,0,-7.46e-05,0,-7.46e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.46e-05,0,0.0,0,0.024104722,0.024104722,0.024104722,0,0,-7.46e-05,0.0,0,0,0.0,0,-0.051948464,0,0,0,0,0,0.0,0,0,0.0,0,0,0
842,45,0,0,0,0,0.0,0,0,0,0,0,-7.4e-05,0,0,-0.030895459,0.023907077,0.0,0,0,0,0.0,0,0,0,-0.005780696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001941123,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.017723664,0,0,-7.4e-05,0,0,0,0,0,0,0,-0.005319963,0,0,-0.001894961,0,0,0,0.0,0.247696294,0,0,0,0,0,0,0,0.0,-2.22e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.4e-05,-0.055095175,0,0.0,0.0,0,0.0,0,0,-0.019412172,0,0,0.0,0.0,0.0,-0.07890135,-7.4e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000296,0,0.0,0,0,-0.005077756,0,-0.006823989,0,0,0.058236515,0,0,0,0,-0.017543371,0.0,0,0,-7.4e-05,0,-7.4e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.4e-05,0,0.0,0,0.023907077,0.023907077,0.023907077,0,0,-7.4e-05,0.0,0,0,0.0,0,-0.061927484,0,0,0,0,0,0.0,0,0,0.0,0,0,0
856,46,0,0,0,0,0.0,0,0,0,0,0,-7.34e-05,0,0,-0.025478503,0.023717261,0.0,0,0,0,0.0,0,0,0,-0.005734798,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002020339,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.022669383,0,0,-7.34e-05,0,0,0,0,0,0,0,-0.005277724,0,0,-0.001879915,0,0,0,0.0,0.219534515,0,0,0,0,0,0,0,-0.008903195,-3.14e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.34e-05,-0.042403347,0,0.0,0.0,0,0.0,0,0,-0.019258044,0,0,0.0,0.0,0.0,-0.057093621,-7.34e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000294,0,0.0,0,0,-0.004152931,0,-0.006769808,0,0,0.057774132,0,0,0,0,-0.008500886,0.0,0,0,-7.34e-05,0,-7.34e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.34e-05,0,0.0,0,0.023717261,0.023717261,0.023717261,0,0,-7.34e-05,0.0,0,0,0.0,0,-0.069483212,0,0,0,0,0,0.0,0,0,0.0,0,0,0
870,47,0,0,0,0,0.0,0,0,0,0,0,-7.28e-05,0,0,-0.021173855,0.023525131,0.0,0,0,0,0.0,0,0,0,-0.005688342,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002003973,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.015469644,0,0,-7.28e-05,0,0,0,0,0,0,0,-0.00523497,0,0,-0.001864687,0,0,0,0.0,0.221184802,0,0,0,0,0,0,0,-0.008831072,-4.03e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.28e-05,-0.043013848,0,0.0,0.0,0,0.0,0,0,-0.019102038,0,0,0.0,0.0,0.0,-0.051169739,-7.28e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000291,0,0.0,0,0,-0.00342456,0,-0.006714967,0,0,0.057306114,0,0,0,0,-0.008432022,0.0,0,0,-7.28e-05,0,-7.28e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.28e-05,0,0.0,0,0.023525131,0.023525131,0.023525131,0,0,-7.28e-05,0.0,0,0,0.0,0,-0.075159079,0,0,0,0,0,0.0,0,0,0.0,0,0,0
884,48,0,0,0,0,0.0,0,0,0,0,0,-7.21e-05,0,0,-0.017741674,0.023297228,0.0,0,0,0,0.0,0,0,0,-0.005633235,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001984559,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0097643,0,0,-7.21e-05,0,0,0,0,0,0,0,-0.005184256,0,0,-0.001846622,0,0,0,0.0,0.221463055,0,0,0,0,0,0,0,-0.008745519,-4.88e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.21e-05,-0.043275788,0,0.0,0.0,0,0.0,0,0,-0.018916984,0,0,0.0,0.0,0.0,-0.046242927,-7.21e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.000289,0,0.0,0,0,-0.002848468,0,-0.006649915,0,0,0.056750951,0,0,0,0,-0.008350335,0.0,0,0,-7.21e-05,0,-7.21e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.21e-05,0,0.0,0,0.023297228,0.023297228,0.023297228,0,0,-7.21e-05,0.0,0,0,0.0,0,-0.07942425,0,0,0,0,0,0.0,0,0,0.0,0,0,0
898,49,0,0,0,0,0.0,0,0,0,0,0,-7.14e-05,0,0,-0.061468776,0.02304876,0.0,0,0,0,0.0,0,0,0,-0.005573156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.052182556,0,0,-7.14e-05,0,0,0,0,0,0,0,-0.005128965,0,0,-0.001826928,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.008652247,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.14e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.018715232,0,0,0.0,0.0,0.0,0.0,-7.14e-05,0,0,0,0.0,1e-05,0,0,0.0,0.0,0.0,0,0,-0.000285,0,0.044023955,0,0,-0.008346388,0,-0.006578992,0,0,0.056145695,0,0,0,0,-0.003428783,0.0,0,0,-7.14e-05,0,-7.14e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.14e-05,0,0.0,0,0.02304876,0.02304876,0.02304876,0,0,-7.14e-05,0.0,0,0,0.0,0,-0.082607102,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1062,50,0,0,0,0,0.0,0,0,0,0,0,-6.99e-05,0,0,-0.052410218,0.022588302,0.0,0,0,0,0.0,0,0,0,-0.005461818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.038553702,0,0,-6.99e-05,0,0,0,0,0,0,0,-0.005026501,0,0,-0.00179043,0,0,0,0.0,0.005247647,0,0,0,0,0,0,0,-0.008479397,-6.75e-05,0,0.0,0,0,0,0,0,0,0,0,0,-6.99e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.018341348,0,0,0.0,0.0,0.0,0.0,-6.99e-05,0,0,0,0.0,-1e-05,0,0,0.0,0.0,0.0,0,0,-0.00028,0,0.0,0,0,-0.007785696,0,-0.00644756,0,0,0.055024043,0,0,0,0,-0.008077719,0.0,0,0,-6.99e-05,0,-6.99e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-6.99e-05,0,0.0,0,0.022588302,0.022588302,0.022588302,0,0,-6.99e-05,0.0,0,0,0.0,0,-0.084891286,0,0,0,0,0,0.0,0,0,0.010805003,0,0,0
