,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
786,41,0,0,0,0,0.0,0,0,0,0,0,-3.61e-06,0,0,0.0,0.001164503,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-3.61e-06,0,0,0,0,0,0,0,-0.000355,0,0,0.0,0,0,0,0.0,0.031328448,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-3.61e-06,-0.00784031,0,0.0,0.0,0,0.0,0,0,-0.000946,0,0,0.001184503,0.0,0.0,-0.00998061,-3.61e-06,0,0,0,9.6e-05,1e-05,0,0,0.0,-1.44e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-3.61e-06,0,-3.61e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-3.61e-06,0,0.0,0,0.001164503,0.001164503,0.001164503,0,0,-3.61e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
799,42,0,0,0,0,0.0,0,0,0,0,0,-6.23e-06,0,0,0.0,0.002011946,0.0,0,0,0,0.0,0,0,0,-0.000658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.002789647,0,0,-6.23e-06,0,0,0,0,0,0,0,-6.23e-06,0,0,-0.000159,0,0,0,0.0,0.008866038,0,0,0,0,0,0,0,-0.000927,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.23e-06,0.0,0,-0.003005816,0.0,0,-0.003005816,0,0,-0.001633668,0,0,0.002011946,-0.000404,0.0,0.00141718,-6.23e-06,0,0,0,0.0,1e-05,0,0,0.0,-2.49e-05,-0.001453819,0,0,0.0,0,0.0,0,0,0.0,0,-0.000574,0,0,0.0,0,0,0,0,-0.000721,0.0,0,0,-6.23e-06,0,-6.23e-06,-0.000243,0,-0.000311,-0.000126,0,0,0.0,0.0,0,0,0.0,0,-6.23e-06,0,-0.000263,0,0.002011946,0.002011946,0.002011946,0,0,-6.23e-06,0.0,0,0,-0.000496,0,-0.003005816,0,0,0,0,0,-0.000178,0,0,0.0,0,0,0
813,43,0,0,0,0,0.0,0,0,0,0,0,-7.81e-06,0,0,0.0,0.002522127,0.0,0,0,0,0.0,0,0,0,-0.000825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.003395112,0,0,-7.81e-06,0,0,0,0,0,0,0,-7.81e-06,0,0,-0.0002,0,0,0,0.0,0.010156388,0,0,0,0,0,0,0,-0.001161624,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.81e-06,0.0,0,-0.005276578,0.0,0,-0.005379745,0,0,-0.002047927,0,0,0.002522127,0.0,0.0,0.00084,-7.81e-06,0,0,0,0.0,1e-05,0,0,0.0,-3.12e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.81e-06,0,-7.81e-06,-0.000304,0,-0.00039,-0.000158,0,0,0.0,0.0,0,0,0.0,0,-7.81e-06,0,-0.00033,0,0.002522127,0.002522127,0.002522127,0,0,-7.81e-06,0.0,0,0,-0.000622,0,-0.004278311,0,0,0,0,0,-0.000223,0,0,0.0,0,0,0
827,44,0,0,0,0,0.0,0,0,0,0,0,-8.86e-06,0,0,0.0,0.002861894,0.0,0,0,0,0.0,0,0,0,-0.000936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.003297695,0,0,-8.86e-06,0,0,0,0,0,0,0,-8.86e-06,0,0,-0.000227,0,0,0,0.0,0.011922843,0,0,0,0,0,0,0,-0.001318112,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-8.86e-06,0.0,0,-0.006107111,0.0,0,-0.007492187,0,0,-0.002323813,0,0,0.002861894,0.0,0.0,0.0,-8.86e-06,0,0,0,0.0,1e-05,0,0,0.0,-3.54e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-8.86e-06,0,-8.86e-06,-0.000345,0,-0.000442,-0.000179,0,0,0.0,0.0,0,0,0.0,0,-8.86e-06,0,-0.000375,0,0.002861894,0.002861894,0.002861894,0,0,-8.86e-06,0.0,0,0,-0.000706,0,-0.003346981,0,0,0,0,0,-0.000253,0,0,0.0,0,0,0
841,45,0,0,0,0,0.0,0,0,0,0,0,-9.74e-06,0,0,0.0,0.003144285,0.0,0,0,0,0.0,0,0,0,-0.001028127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00315964,0,0,-9.74e-06,0,0,0,0,0,0,0,-9.74e-06,0,0,-0.000249,0,0,0,0.0,0.012635755,0,0,0,0,0,0,0,-0.001448173,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-9.74e-06,0.0,0,-0.006013608,0.0,0,-0.009390621,0,0,-0.00255311,0,0,0.003144285,0.0,0.0,0.0,-9.74e-06,0,0,0,0.0,1e-05,0,0,0.0,-3.89e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-9.74e-06,0,-9.74e-06,-0.000379,0,-0.000486,-0.000197,0,0,0.0,0.0,0,0,0.0,0,-9.74e-06,0,-0.000412,0,0.003144285,0.003144285,0.003144285,0,0,-9.74e-06,0.0,0,0,-0.000776,0,-0.003213986,0,0,0,0,0,-0.000278,0,0,0.0,0,0,0
855,46,0,0,0,0,0.0,0,0,0,0,0,-1.01e-05,0,0,0.0,0.003268809,0.0,0,0,0,0.0,0,0,0,-0.001068845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.002745594,0,0,-1.01e-05,0,0,0,0,0,0,0,-1.01e-05,0,0,-0.000259,0,0,0,0.0,0.012596955,0,0,0,0,0,0,0,-0.001505526,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.01e-05,0.0,0,-0.005442622,0.0,0,-0.011110686,0,0,-0.002654222,0,0,0.003268809,0.0,0.0,0.0,-1.01e-05,0,0,0,0.0,1e-05,0,0,0.0,-4.05e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.01e-05,0,-1.01e-05,-0.000394,0,-0.000505,-0.000205,0,0,0.0,0.0,0,0,0.0,0,-1.01e-05,0,-0.000428,0,0.003268809,0.003268809,0.003268809,0,0,-1.01e-05,0.0,0,0,-0.000806,0,-0.002802171,0,0,0,0,0,-0.000289,0,0,0.0,0,0,0
869,47,0,0,0,0,0.0,0,0,0,0,0,-1.05e-05,0,0,0.0,0.003390295,0.0,0,0,0,0.0,0,0,0,-0.001108568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.002390404,0,0,-1.05e-05,0,0,0,0,0,0,0,-1.05e-05,0,0,-0.000269,0,0,0,0.0,0.012607854,0,0,0,0,0,0,0,-0.001561479,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.05e-05,0.0,0,-0.004958699,0.0,0,-0.012666895,0,0,-0.002752866,0,0,0.003390295,0.0,0.0,0.0,-1.05e-05,0,0,0,0.0,1e-05,0,0,0.0,-4.2e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.05e-05,0,-1.05e-05,-0.000409,0,-0.000524,-0.000213,0,0,0.0,0.0,0,0,0.0,0,-1.05e-05,0,-0.000444,0,0.003390295,0.003390295,0.003390295,0,0,-1.05e-05,0.0,0,0,-0.000836,0,-0.002449158,0,0,0,0,0,-0.0003,0,0,0.0,0,0,0
883,48,0,0,0,0,0.0,0,0,0,0,0,-1.08e-05,0,0,0.0,0.003491948,0.0,0,0,0,0.0,0,0,0,-0.001141807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.002044062,0,0,-1.08e-05,0,0,0,0,0,0,0,-1.08e-05,0,0,-0.000277,0,0,0,0.0,0.012567841,0,0,0,0,0,0,0,-0.001608298,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.08e-05,0.0,0,-0.004480073,0.0,0,-0.014091898,0,0,-0.002835407,0,0,0.003491948,0.0,0.0,0.0,-1.08e-05,0,0,0,0.0,1e-05,0,0,0.0,-4.33e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.08e-05,0,-1.08e-05,-0.000421,0,-0.00054,-0.000219,0,0,0.0,0.0,0,0,0.0,0,-1.08e-05,0,-0.000457,0,0.003491948,0.003491948,0.003491948,0,0,-1.08e-05,0.0,0,0,-0.000861,0,-0.002104638,0,0,0,0,0,-0.000309,0,0,0.0,0,0,0
897,49,0,0,0,0,0.0,0,0,0,0,0,-1.11e-05,0,0,0.0,0.00357911,0.0,0,0,0,0.0,0,0,0,-0.001170307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.001711691,0,0,-1.11e-05,0,0,0,0,0,0,0,-1.11e-05,0,0,-0.000284,0,0,0,0.0,0.012498124,0,0,0,0,0,0,0,-0.001648442,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.11e-05,0.0,0,-0.004016572,0.0,0,-0.015402259,0,0,-0.002906181,0,0,0.00357911,0.0,0.0,0.0,-1.11e-05,0,0,0,0.0,1e-05,0,0,0.0,-4.43e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.11e-05,0,-1.11e-05,-0.000432,0,-0.000553,-0.000224,0,0,0.0,0.0,0,0,0.0,0,-1.11e-05,0,-0.000468,0,0.00357911,0.00357911,0.00357911,0,0,-1.11e-05,0.0,0,0,-0.000883,0,-0.001773829,0,0,0,0,0,-0.000317,0,0,0.0,0,0,0
1061,50,0,0,0,0,0.0,0,0,0,0,0,-1.14e-05,0,0,0.0,0.003675465,0.0,0,0,0,0.0,0,0,0,-0.001201814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.001442779,0,0,-1.14e-05,0,0,0,0,0,0,0,-1.14e-05,0,0,-0.000291,0,0,0,0.0,0.012519573,0,0,0,0,0,0,0,-0.001692821,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.14e-05,0.0,0,-0.003651959,0.0,0,-0.016604543,0,0,-0.00298442,0,0,0.003675465,0.0,0.0,0.0,-1.14e-05,0,0,0,0.0,1e-05,0,0,0.0,-4.55e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.14e-05,0,-1.14e-05,-0.000444,0,-0.000568,-0.00023,0,0,0.0,0.0,0,0,0.0,0,-1.14e-05,0,-0.000481,0,0.003675465,0.003675465,0.003675465,0,0,-1.14e-05,0.0,0,0,-0.000907,0,-0.001506644,0,0,0,0,0,-0.000325,0,0,0.0,0,0,0
