,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
780,41,0,0,0,0,0.0,0,0,0,0,0,-6.68e-06,0,0,0.0,0.002158437,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.68e-06,0,0,0,0,0,0,0,-0.006563091,0,0,0.0,0,0,0,0.0,0.036652445,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.68e-06,-0.014164876,0,0.0,0.0,0,0.0,0,0,-0.001752617,0,0,0.0,0.0,0.0,-0.018499318,-6.68e-06,0,0,0,0.006082782,1e-05,0,0,0.0,-2.67e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.68e-06,0,-6.68e-06,0.0,0,0.0,0.0,0,0,0.050241572,0.0,0,0,0.0,0,-6.68e-06,0,0.0,0,0.002158437,0.002158437,0.002158437,0,0,-6.68e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
789,42,0,0,0,0,0.0,0,0,0,0,0,-1.13e-05,0,0,0.0,0.003638302,0.0,0,0,0,0.0,0,0,0,-0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.13e-05,0,0,0,0,0,0,0,-0.013395384,0,0,-0.000288,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.001365778,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.13e-05,-0.006232429,0,-0.003623584,0.0,0,-0.000671,0,0,-0.002954245,0,0,1e-05,-0.002757819,0.0,0.0,-1.13e-05,0,0,0,0.013384119,9.52e-06,0,0,-0.001889354,-4.51e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.00103851,0,0,0.0,0,0,0,0,-0.001304063,0.0,0,0,-1.13e-05,0,-1.13e-05,-0.00045,0,-0.000562,-0.000172,0,0,0.081985497,0.0,0,0,0.0,0,-1.13e-05,0,-0.000476,0,0.003638302,0.003638302,0.003638302,0,0,-1.13e-05,0.0,0,0,-0.000898,0,-0.003623584,0,0,0,0,0,-0.000322,0,0,0.0,0,0,0
803,43,0,0,0,0,0.0,0,0,0,0,0,-1.43e-05,0,0,0.0,0.004616055,0.0,0,0,0,0.0,0,0,0,-0.001116155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.43e-05,0,0,0,0,0,0,0,-0.016122043,0,0,-0.000366,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.001732815,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.43e-05,-0.0061988,0,-0.006282083,0.0,0,-0.000851,0,0,-0.003748164,0,0,1e-05,0.0,0.0,0.0,-1.43e-05,0,0,0,0.016107749,8.61e-06,0,0,-0.004086616,-5.72e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.001317597,0,0,0.0,0,0,0,0,-0.001654515,0.0,0,0,-1.43e-05,0,-1.43e-05,-0.000571,0,-0.000713,-0.000218,0,0,0.100583036,0.0,0,0,0.0,0,-1.43e-05,0,-0.000604,0,0.004616055,0.004616055,0.004616055,0,0,-1.43e-05,0.0,0,0,-0.001138766,0,-0.006409222,0,0,0,0,0,-0.000409,0,0,0.0,0,0,0
817,44,0,0,0,0,0.0,0,0,0,0,0,-1.59e-05,0,0,0.0,0.005126473,0.0,0,0,0,0.0,0,0,0,-0.001239573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.59e-05,0,0,0,0,0,0,0,-0.017905297,0,0,-0.000406,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.001924421,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.59e-05,-0.007385205,0,-0.008496565,0.0,0,-0.000945,0,0,-0.004162615,0,0,1e-05,0.0,0.0,0.0,-1.59e-05,0,0,0,0.017889423,8.4e-06,0,0,0.0,-6.35e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.00146329,0,0,0.0,0,0,0,0,-0.001837462,0.0,0,0,-1.59e-05,0,-1.59e-05,-0.000635,0,-0.000792,-0.000242,0,0,0.104124534,0.0,0,0,0.0,0,-1.59e-05,0,-0.000671,0,0.005126473,0.005126473,0.005126473,0,0,-1.59e-05,0.0,0,0,-0.001264684,0,-0.008627242,0,0,0,0,0,-0.000454,0,0,0.0,0,0,0
831,45,0,0,0,0,0.0,0,0,0,0,0,-1.71e-05,0,0,0.0,0.005511463,0.0,0,0,0,0.0,0,0,0,-0.001332663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.71e-05,0,0,0,0,0,0,0,-0.019250312,0,0,-0.000437,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.002068942,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.71e-05,-0.008907648,0,-0.006811295,0.0,0,-0.001016064,0,0,-0.004475221,0,0,1e-05,0.0,0.0,0.0,-1.71e-05,0,0,0,0.019233246,8.36e-06,0,0,0.0,-6.83e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.001573181,0,0,0.0,0,0,0,0,-0.001975452,0.0,0,0,-1.71e-05,0,-1.71e-05,-0.000682,0,-0.000852,-0.00026,0,0,0.116589364,0.0,0,0,0.0,0,-1.71e-05,0,-0.000721,0,0.005511463,0.005511463,0.005511463,0,0,-1.71e-05,0.0,0,0,-0.00135966,0,-0.010436809,0,0,0,0,0,-0.000488,0,0,0.0,0,0,0
845,46,0,0,0,0,0.0,0,0,0,0,0,-1.75e-05,0,0,0.0,0.005649658,0.0,0,0,0,0.0,0,0,0,-0.001366079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.75e-05,0,0,0,0,0,0,0,-0.019733163,0,0,-0.000448,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.002120819,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.75e-05,-0.010156338,0,-0.004521008,0.0,0,-0.001041541,0,0,-0.004587434,0,0,1e-05,0.0,0.0,0.0,-1.75e-05,0,0,0,0.019715669,8.17e-06,0,0,0.0,-7e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.001612627,0,0,0.0,0,0,0,0,-0.002024985,0.0,0,0,-1.75e-05,0,-1.75e-05,-0.000699,0,-0.000873,-0.000267,0,0,0.12443432,0.0,0,0,0.0,0,-1.75e-05,0,-0.00074,0,0.005649658,0.005649658,0.005649658,0,0,-1.75e-05,0.0,0,0,-0.001393753,0,-0.011929041,0,0,0,0,0,-0.0005,0,0,0.0,0,0,0
859,47,0,0,0,0,0.0,0,0,0,0,0,-1.77e-05,0,0,0.0,0.005706768,0.0,0,0,0,0.0,0,0,0,-0.001379888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.77e-05,0,0,0,0,0,0,0,-0.019932692,0,0,-0.000452,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.002142257,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.77e-05,-0.011033088,0,-0.002708813,0.0,0,-0.001052069,0,0,-0.004633806,0,0,1e-05,0.0,0.0,0.0,-1.77e-05,0,0,0,0.019915021,8.12e-06,0,0,0.0,-7.07e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.001628928,0,0,0.0,0,0,0,0,-0.002045455,0.0,0,0,-1.77e-05,0,-1.77e-05,-0.000706,0,-0.000882,-0.000269,0,0,0.129407737,0.0,0,0,0.0,0,-1.77e-05,0,-0.000747,0,0.005706768,0.005706768,0.005706768,0,0,-1.77e-05,0.0,0,0,-0.001407841,0,-0.012978573,0,0,0,0,0,-0.000505,0,0,0.0,0,0,0
873,48,0,0,0,0,0.0,0,0,0,0,0,-1.79e-05,0,0,0.0,0.005772204,0.0,0,0,0,0.0,0,0,0,-0.00139571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.79e-05,0,0,0,0,0,0,0,-0.020161299,0,0,-0.000458,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.002166821,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.79e-05,-0.011159662,0,-0.002739644,0.0,0,-0.001064133,0,0,-0.004686939,0,0,1e-05,0.0,0.0,0.0,-1.79e-05,0,0,0,0.020143425,8.13e-06,0,0,0.0,-7.15e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.001647607,0,0,0.0,0,0,0,0,-0.002068909,0.0,0,0,-1.79e-05,0,-1.79e-05,-0.000714,0,-0.000892,-0.000272,0,0,0.130891833,0.0,0,0,0.0,0,-1.79e-05,0,-0.000756,0,0.005772204,0.005772204,0.005772204,0,0,-1.79e-05,0.0,0,0,-0.001423984,0,-0.013127506,0,0,0,0,0,-0.000511,0,0,0.0,0,0,0
887,49,0,0,0,0,0.0,0,0,0,0,0,-1.81e-05,0,0,0.0,0.005852792,0.0,0,0,0,0.0,0,0,0,-0.001415196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.81e-05,0,0,0,0,0,0,0,-0.020442834,0,0,-0.000464,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.002197073,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.81e-05,-0.011315546,0,-0.002777614,0.0,0,-0.00107899,0,0,-0.004752376,0,0,1e-05,0.0,0.0,0.0,-1.81e-05,0,0,0,0.020424711,8.16e-06,0,0,0.0,-7.25e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.001670609,0,0,0.0,0,0,0,0,-0.002097794,0.0,0,0,-1.81e-05,0,-1.81e-05,-0.000724,0,-0.000904,-0.000276,0,0,0.132719574,0.0,0,0,0.0,0,-1.81e-05,0,-0.000766,0,0.005852792,0.005852792,0.005852792,0,0,-1.81e-05,0.0,0,0,-0.001443865,0,-0.013310924,0,0,0,0,0,-0.000518,0,0,0.0,0,0,0
1051,50,0,0,0,0,0.0,0,0,0,0,0,-1.85e-05,0,0,0.0,0.005958443,0.0,0,0,0,0.0,0,0,0,-0.001440743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.85e-05,0,0,0,0,0,0,0,-0.020811928,0,0,-0.000472,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.002236733,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.85e-05,-0.011519909,0,-0.002827393,0.0,0,-0.001098467,0,0,-0.004838162,0,0,1e-05,0.0,0.0,0.0,-1.85e-05,0,0,0,0.020793478,8.2e-06,0,0,0.0,-7.38e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.001700766,0,0,0.0,0,0,0,0,-0.002135662,0.0,0,0,-1.85e-05,0,-1.85e-05,-0.000737,0,-0.000921,-0.000281,0,0,0.135115738,0.0,0,0,0.0,0,-1.85e-05,0,-0.00078,0,0.005958443,0.005958443,0.005958443,0,0,-1.85e-05,0.0,0,0,-0.001469929,0,-0.013551385,0,0,0,0,0,-0.000528,0,0,0.0,0,0,0
