,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
782,41,0,0,0,0,0.021013127,0,0,0,0,0,-1.03e-06,0,0,0.0,0.000333,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.03e-06,0,0,0,0,0,0,0,-7.41e-05,0,0,0.0,0,0,0,-1.03e-06,0.102624184,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.03e-06,0.0,0,0.0,0.0,0,0.0,0,0,-6.16e-05,0,0,-0.025036508,0.0,-1.03e-06,-0.060867367,-1.03e-06,0,0,0,0.0,1e-05,0,0,0.0,-1.03e-06,0.0,0,0,-2.06e-06,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.03e-06,0,0.0,0,0.000333,0.000333,0.000333,0,0,0.0,0.017475079,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
792,42,0,0,0,0,0.032092524,0,0,0,0,0,-2.23e-06,0,0,0.0,0.000721,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.23e-06,0,0,0,0,0,0,0,-0.000161,0,0,0.0,0,0,0,-2.23e-06,0.183430873,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.23e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000133,0,0,-0.025420797,0.0,-2.23e-06,-0.09549789,-2.23e-06,0,0,0,0.0,8.85e-06,0,0,0.0,-2.23e-06,0.0,0,0,-4.47e-06,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.008721611,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.23e-06,0,0.0,0,0.000721,0.000721,0.000721,0,0,0.0,0.037223223,0,0,0.0,0,-0.000403,0,0,0,0,0,0.0,0,0,0.0,0,0,0
806,43,0,0,0,0,0.042416299,0,0,0,0,0,-3.36e-06,0,0,0.0,0.001085185,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-3.36e-06,0,0,0,0,0,0,0,-0.000241,0,0,0.0,0,0,0,-3.36e-06,0.25941802,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-3.36e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000201,0,0,-0.026136595,0.0,-3.36e-06,-0.128098163,-3.36e-06,0,0,0,0.0,6.43e-06,0,0,0.0,-3.36e-06,0.0,0,0,-6.72e-06,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.016958331,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-3.36e-06,0,0.0,0,0.001085185,0.001085185,0.001085185,0,0,0.0,0.055413074,0,0,0.0,0,-0.000606,0,0,0,0,0,0.0,0,0,0.0,0,0,0
820,44,0,0,0,0,0.052339195,0,0,0,0,0,-4.43e-06,0,0,0.0,0.001429316,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.43e-06,0,0,0,0,0,0,0,-0.000318,0,0,0.0,0,0,0,-4.43e-06,0.331754251,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-4.43e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000264,0,0,-0.027157785,0.0,-4.43e-06,-0.159364733,-4.43e-06,0,0,0,0.0,5.67e-06,0,0,0.0,-4.43e-06,0.0,0,0,-8.85e-06,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.024635609,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-4.43e-06,0,0.0,0,0.001429316,0.001429316,0.001429316,0,0,0.0,0.072619629,0,0,0.0,0,-0.000799,0,0,0,0,0,0.0,0,0,0.0,0,0,0
834,45,0,0,0,0,0.061869771,0,0,0,0,0,-5.43e-06,0,0,0.0,0.001754506,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-5.43e-06,0,0,0,0,0,0,0,-0.00039,0,0,0.0,0,0,0,-5.43e-06,0.400556458,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5.43e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000325,0,0,-0.028458717,0.0,-5.43e-06,-0.189329904,-5.43e-06,0,0,0,0.0,5.37e-06,0,0,0.0,-5.43e-06,0.0,0,0,-1.09e-05,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.031778485,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-5.43e-06,0,0.0,0,0.001754506,0.001754506,0.001754506,0,0,0.0,0.088879133,0,0,0.0,0,-0.00098,0,0,0,0,0,0.0,0,0,0.0,0,0,0
848,46,0,0,0,0,0.071010201,0,0,0,0,0,-6.38e-06,0,0,0.0,0.002061177,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.38e-06,0,0,0,0,0,0,0,-0.000459,0,0,0.0,0,0,0,-6.38e-06,0.465884607,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.38e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000381,0,0,-0.030018166,0.0,-6.38e-06,-0.218004849,-6.38e-06,0,0,0,0.0,4.6e-06,0,0,0.0,-6.38e-06,0.0,0,0,-1.28e-05,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.038403552,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-6.38e-06,0,0.0,0,0.002061177,0.002061177,0.002061177,0,0,0.0,0.104212682,0,0,0.0,0,-0.001151537,0,0,0,0,0,0.0,0,0,0.0,0,0,0
862,47,0,0,0,0,0.079760275,0,0,0,0,0,-7.24e-06,0,0,0.0,0.00233958,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-7.24e-06,0,0,0,0,0,0,0,-0.000521,0,0,0.0,0,0,0,-7.24e-06,0.526028951,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.24e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000433,0,0,-0.031800084,0.0,-7.24e-06,-0.244887902,-7.24e-06,0,0,0,0.0,4.25e-06,0,0,0.0,-7.24e-06,0.0,0,0,-1.45e-05,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.044471038,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.24e-06,0,0.0,0,0.00233958,0.00233958,0.00233958,0,0,0.0,0.118657972,0,0,0.0,0,-0.001307076,0,0,0,0,0,0.0,0,0,0.0,0,0,0
876,48,0,0,0,0,0.087979596,0,0,0,0,0,-8.11e-06,0,0,0.0,0.002619968,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-8.11e-06,0,0,0,0,0,0,0,-0.000583,0,0,0.0,0,0,0,-8.11e-06,0.585834739,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-8.11e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000485,0,0,-0.033546345,0.0,-8.11e-06,-0.271111505,-8.11e-06,0,0,0,0.0,4.07e-06,0,0,0.0,-8.11e-06,0.0,0,0,-1.62e-05,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.050246627,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-8.11e-06,0,0.0,0,0.002619968,0.002619968,0.002619968,0,0,0.0,0.132152253,0,0,0.0,0,-0.001463723,0,0,0,0,0,0.0,0,0,0.0,0,0,0
890,49,0,0,0,0,0.093532873,0,0,0,0,0,-8.89e-06,0,0,0.0,0.00287162,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-8.89e-06,0,0,0,0,0,0,0,-0.000639,0,0,0.0,0,0,0,-8.89e-06,0.640034889,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-8.89e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000531,0,0,-0.035261436,0.0,-8.89e-06,-0.290904914,-8.89e-06,0,0,0,0.0,3.96e-06,0,0,0.0,-8.89e-06,0.0,0,0,-1.78e-05,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.055601124,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,-0.017085175,0.0,0,0,0.0,0,-8.89e-06,0,0.0,0,0.00287162,0.00287162,0.00287162,0,0,0.0,0.144734826,0,0,0.0,0,-0.001566521,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1054,50,0,0,0,0,0.090696824,0,0,0,0,0,-9.62e-06,0,0,0.0,0.003107959,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-9.62e-06,0,0,0,0,0,0,0,-0.000692,0,0,0.0,0,0,0,-9.62e-06,0.69133924,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-9.62e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000575,0,0,-0.037182647,0.0,-9.62e-06,-0.293482757,-9.62e-06,0,0,0,0.0,3.88e-06,0,0,0.0,-9.62e-06,0.0,0,0,-1.92e-05,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.060467172,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,-0.098763372,0.0,0,0,0.0,0,-9.62e-06,0,0.0,0,0.003107959,0.003107959,0.003107959,0,0,0.0,0.156551787,0,0,0.0,0,-0.001698559,0,0,0,0,0,0.0,0,0,0.0,0,0,0
