,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
791,42,0,0,0,0,0.000234,0,0,0,0,0,-1.35e-06,0,0,0.0,0.000435,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.35e-06,0,0,0,0,0,0,0,-9.69e-05,0,0,0.0,0,0,0,-1.35e-06,0.112081636,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.35e-06,0.0,0,0.0,0.0,0,0.0,0,0,-8.46e-05,0,0,1e-05,0.0,-1.35e-06,0.0,-1.35e-06,0,0,0,0.0,1e-05,0,0,0.0,-1.35e-06,0.0,0,0,-2.7e-06,0,-0.018457321,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.002866181,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1.35e-06,0.0,0,0,0.0,0,-1.35e-06,0,0.0,0,0.000435,0.000435,0.000435,0,0,0.0,0.036700545,0,0,0.0,0,-0.000243,0,0,0,0,0,0.0,0,0,0.0,0,0,0
805,43,0,0,0,0,0.000294,0,0,0,0,0,-2.74e-06,0,0,0.0,0.000883,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.74e-06,0,0,0,0,0,0,0,-0.000197,0,0,0.0,0,0,0,-2.74e-06,0.226072213,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.74e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000172,0,0,1e-05,0.0,-2.74e-06,0.0,-2.74e-06,0,0,0,0.0,1e-05,0,0,0.0,-2.74e-06,0.0,0,0,-5.47e-06,0,-0.037096593,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.005454261,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,2.74e-06,0.0,0,0,0.0,0,-2.74e-06,0,0.0,0,0.000883,0.000883,0.000883,0,0,0.0,0.072689816,0,0,0.0,0,-0.000494,0,0,0,0,0,0.0,0,0,0.0,0,0,0
819,44,0,0,0,0,0.00029,0,0,0,0,0,-4.06e-06,0,0,0.0,0.001310826,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.06e-06,0,0,0,0,0,0,0,-0.000292,0,0,0.0,0,0,0,-4.06e-06,0.334892726,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-4.06e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000255,0,0,1e-05,0.0,-4.06e-06,0.0,-4.06e-06,0,0,0,0.0,1e-05,0,0,0.0,-4.06e-06,0.0,0,0,-8.12e-06,0,-0.055051406,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.007801811,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4.06e-06,0.0,0,0,0.0,0,-4.06e-06,0,0.0,0,0.001310826,0.001310826,0.001310826,0,0,0.0,0.107008771,0,0,0.0,0,-0.000732,0,0,0,0,0,0.0,0,0,0.0,0,0,0
833,45,0,0,0,0,0.00023,0,0,0,0,0,-5.34e-06,0,0,0.0,0.001722963,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-5.34e-06,0,0,0,0,0,0,0,-0.000383,0,0,0.0,0,0,0,-5.34e-06,0.439946501,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5.34e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000335,0,0,1e-05,0.0,-5.34e-06,0.0,-5.34e-06,0,0,0,0.0,1e-05,0,0,0.0,-5.34e-06,0.0,0,0,-1.07e-05,0,-0.072537358,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.009951307,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,5.34e-06,0.0,0,0,0.0,0,-5.34e-06,0,0.0,0,0.001722963,0.001722963,0.001722963,0,0,0.0,0.140103745,0,0,0.0,0,-0.000963,0,0,0,0,0,0.0,0,0,0.0,0,0,0
847,46,0,0,0,0,0.000197,0,0,0,0,0,-6.49e-06,0,0,0.0,0.002095196,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.49e-06,0,0,0,0,0,0,0,-0.000466,0,0,0.0,0,0,0,-6.49e-06,0.534785087,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.49e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000407,0,0,1e-05,0.0,-6.49e-06,0.0,-6.49e-06,0,0,0,0.0,1e-05,0,0,0.0,-6.49e-06,0.0,0,0,-1.3e-05,0,-0.088264608,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.011936486,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,6.49e-06,0.0,0,0,0.0,0,-6.49e-06,0,0.0,0,0.002095196,0.002095196,0.002095196,0,0,0.0,0.169994438,0,0,0.0,0,-0.001170543,0,0,0,0,0,0.0,0,0,0.0,0,0,0
861,47,0,0,0,0,0.000959,0,0,0,0,0,-6.67e-06,0,0,0.0,0.002154287,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.67e-06,0,0,0,0,0,0,0,-0.000479,0,0,0.0,0,0,0,-6.67e-06,0.548306314,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.67e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000419,0,0,1e-05,0.0,-6.67e-06,0.0,-6.67e-06,0,0,0,0.0,1e-05,0,0,0.0,-6.67e-06,0.0,0,0,-1.33e-05,0,-0.088460232,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.013785633,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,6.67e-06,0.0,0,0,0.0,0,-6.67e-06,0,0.0,0,0.002154287,0.002154287,0.002154287,0,0,0.0,0.174739462,0,0,0.0,0,-0.001203556,0,0,0,0,0,0.0,0,0,0.0,0,0,0
875,48,0,0,0,0,0.001654105,0,0,0,0,0,-6.84e-06,0,0,0.0,0.00220989,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.84e-06,0,0,0,0,0,0,0,-0.000492,0,0,0.0,0,0,0,-6.84e-06,0.561073178,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.84e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000429,0,0,1e-05,0.0,-6.84e-06,0.0,-6.84e-06,0,0,0,0.0,1e-05,0,0,0.0,-6.84e-06,0.0,0,0,-1.37e-05,0,-0.088709598,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.015482138,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,6.84e-06,0.0,0,0,0.0,0,-6.84e-06,0,0.0,0,0.00220989,0.00220989,0.00220989,0,0,0.0,0.179204483,0,0,0.0,0,-0.001234621,0,0,0,0,0,0.0,0,0,0.0,0,0,0
889,49,0,0,0,0,0.002284665,0,0,0,0,0,-7e-06,0,0,0.0,0.002262055,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-7e-06,0,0,0,0,0,0,0,-0.000503,0,0,0.0,0,0,0,-7e-06,0.573093419,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.00044,0,0,1e-05,0.0,-7e-06,0.0,-7e-06,0,0,0,0.0,1e-05,0,0,0.0,-7e-06,0.0,0,0,-1.4e-05,0,-0.089008163,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.017030622,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,7e-06,0.0,0,0,0.0,0,-7e-06,0,0.0,0,0.002262055,0.002262055,0.002262055,0,0,0.0,0.183393316,0,0,0.0,0,-0.001263764,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1053,50,0,0,0,0,0.002850123,0,0,0,0,0,-7.15e-06,0,0,0.0,0.002310634,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-7.15e-06,0,0,0,0,0,0,0,-0.000514,0,0,0.0,0,0,0,-7.15e-06,0.584331204,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.15e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000449,0,0,1e-05,0.0,-7.15e-06,0.0,-7.15e-06,0,0,0,0.0,1e-05,0,0,0.0,-7.15e-06,0.0,0,0,-1.43e-05,0,-0.089351527,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.018429155,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,7.15e-06,0.0,0,0,0.0,0,-7.15e-06,0,0.0,0,0.002310634,0.002310634,0.002310634,0,0,0.0,0.187294303,0,0,0.0,0,-0.001290904,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1067,51,0,0,0,0,0.003359728,0,0,0,0,0,-7.3e-06,0,0,0.0,0.002356184,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-7.3e-06,0,0,0,0,0,0,0,-0.000524,0,0,0.0,0,0,0,-7.3e-06,0.594909328,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.3e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000458,0,0,1e-05,0.0,-7.3e-06,0.0,-7.3e-06,0,0,0,0.0,1e-05,0,0,0.0,-7.3e-06,0.0,0,0,-1.46e-05,0,-0.089735239,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,-0.019699294,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,7.3e-06,0.0,0,0,0.0,0,-7.3e-06,0,0.0,0,0.002356184,0.002356184,0.002356184,0,0,0.0,0.190952008,0,0,0.0,0,-0.001316352,0,0,0,0,0,0.0,0,0,0.0,0,0,0
