,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
794,42,0,0,0,0,0.0,0,0,0,0,0,-9.09e-07,0,0,0.0,0.000293,0.0,0,0,0,0.0,0,0,0,-7.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-9.09e-07,0,0,0,0,0,0,0,-7.17e-05,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.00011,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-9.09e-07,0.0,0,0.0,0.0,0,0.0,0,0,-0.00023,0,0,0.000313,0.0,0.0,0.001143074,-9.09e-07,0,0,0,1e-05,1e-05,0,0,0.0,0.0,0.0,0,0,-3.64e-06,0,0.0,0,0,0.0,0,-0.001673323,0,0,0.0,0,0,0,0,-0.000103,0.0,0,0,-9.09e-07,0,-9.09e-07,0.0,0,0.0,0.0,0,0,0.006323646,0.0,0,0,0.0,0,-9.09e-07,0,0.0,0,0.000293,0.000293,0.000293,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
808,43,0,0,0,0,0.0,0,0,0,0,0,-1.82e-06,0,0,0.0,0.000588,0.0,0,0,0,0.0,0,0,0,-0.000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.82e-06,0,0,0,0,0,0,0,-0.000186,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000221,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.82e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000477,0,0,0.000608,0.0,0.0,0.002378988,-1.82e-06,0,0,0,5.69e-05,1e-05,0,0,0.0,0.0,0.0,0,0,-7.28e-06,0,0.0,0,0,0.0,0,-0.003419636,0,0,0.0,0,0,0,0,-0.000211,0.0,0,0,-1.82e-06,0,-1.82e-06,0.0,0,0.0,0.0,0,0,0.012824525,0.0,0,0,0.0,0,-1.82e-06,0,0.0,0,0.000588,0.000588,0.000588,0,0,-1.82e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
822,44,0,0,0,0,0.0,0,0,0,0,0,-2.71e-06,0,0,0.0,0.000874,0.0,0,0,0,0.0,0,0,0,-0.000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.71e-06,0,0,0,0,0,0,0,-0.000283,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000328,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.71e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.00071,0,0,0.000894,0.0,0.0,0.00353361,-2.71e-06,0,0,0,8.89e-05,1e-05,0,0,0.0,0.0,0.0,0,0,-1.08e-05,0,0.0,0,0,0.0,0,-0.005087107,0,0,0.0,0,0,0,0,-0.000313,0.0,0,0,-2.71e-06,0,-2.71e-06,0.0,0,0.0,0.0,0,0,0.019095457,0.0,0,0,0.0,0,-2.71e-06,0,0.0,0,0.000874,0.000874,0.000874,0,0,-2.71e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
836,45,0,0,0,0,0.0,0,0,0,0,0,-3.57e-06,0,0,0.0,0.001154282,0.0,0,0,0,0.0,0,0,0,-0.000279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-3.57e-06,0,0,0,0,0,0,0,-0.000378,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000433,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-3.57e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000937,0,0,0.001174282,0.0,0.0,0.004661841,-3.57e-06,0,0,0,0.000121,1e-05,0,0,0.0,0.0,0.0,0,0,-1.43e-05,0,0.0,0,0,0.0,0,-0.006714357,0,0,0.0,0,0,0,0,-0.000414,0.0,0,0,-3.57e-06,0,-3.57e-06,0.0,0,0.0,0.0,0,0,0.025209667,0.0,0,0,0.0,0,-3.57e-06,0,0.0,0,0.001154282,0.001154282,0.001154282,0,0,-3.57e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
850,46,0,0,0,0,0.0,0,0,0,0,0,-4.4e-06,0,0,0.0,0.001420787,0.0,0,0,0,0.0,0,0,0,-0.000344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.4e-06,0,0,0,0,0,0,0,-0.000468,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000533,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-4.4e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001153657,0,0,0.001440787,0.0,0.0,0.005735874,-4.4e-06,0,0,0,0.000152,1e-05,0,0,0.0,0.0,0.0,0,0,-1.76e-05,0,0.0,0,0,0.0,0,-0.008263437,0,0,0.0,0,0,0,0,-0.000509,0.0,0,0,-4.4e-06,0,-4.4e-06,0.0,0,0.0,0.0,0,0,0.031030164,0.0,0,0,0.0,0,-4.4e-06,0,0.0,0,0.001420787,0.001420787,0.001420787,0,0,-4.4e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
864,47,0,0,0,0,0.0,0,0,0,0,0,-4.92e-06,0,0,0.0,0.00158892,0.0,0,0,0,0.0,0,0,0,-0.000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.92e-06,0,0,0,0,0,0,0,-0.000525,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000596,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-4.92e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001290178,0,0,0.00160892,0.0,0.0,0.006413464,-4.92e-06,0,0,0,0.000172,1e-05,0,0,0.0,0.0,0.0,0,0,-1.97e-05,0,0.0,0,0,0.0,0,-0.009240726,0,0,0.0,0,0,0,0,-0.00057,0.0,0,0,-4.92e-06,0,-4.92e-06,0.0,0,0.0,0.0,0,0,0.034702219,0.0,0,0,0.0,0,-4.92e-06,0,0.0,0,0.00158892,0.00158892,0.00158892,0,0,-4.92e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
878,48,0,0,0,0,0.0,0,0,0,0,0,-5.44e-06,0,0,0.0,0.001757749,0.0,0,0,0,0.0,0,0,0,-0.000425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-5.44e-06,0,0,0,0,0,0,0,-0.000582,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.00066,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5.44e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001427265,0,0,0.001777749,0.0,0.0,0.007093857,-5.44e-06,0,0,0,0.000191,1e-05,0,0,0.0,0.0,0.0,0,0,-2.18e-05,0,0.0,0,0,0.0,0,-0.010222057,0,0,0.0,0,0,0,0,-0.00063,0.0,0,0,-5.44e-06,0,-5.44e-06,0.0,0,0.0,0.0,0,0,0.038389463,0.0,0,0,0.0,0,-5.44e-06,0,0.0,0,0.001757749,0.001757749,0.001757749,0,0,-5.44e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
892,49,0,0,0,0,0.0,0,0,0,0,0,-5.97e-06,0,0,0.0,0.001927997,0.0,0,0,0,0.0,0,0,0,-0.000466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-5.97e-06,0,0,0,0,0,0,0,-0.00064,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000724,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-5.97e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001565504,0,0,0.001947997,0.0,0.0,0.00777997,-5.97e-06,0,0,0,0.000211,1e-05,0,0,0.0,0.0,0.0,0,0,-2.39e-05,0,0.0,0,0,0.0,0,-0.011211639,0,0,0.0,0,0,0,0,-0.000691,0.0,0,0,-5.97e-06,0,-5.97e-06,0.0,0,0.0,0.0,0,0,0.042107709,0.0,0,0,0.0,0,-5.97e-06,0,0.0,0,0.001927997,0.001927997,0.001927997,0,0,-5.97e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1056,50,0,0,0,0,0.0,0,0,0,0,0,-6.5e-06,0,0,0.0,0.002099319,0.0,0,0,0,0.0,0,0,0,-0.000508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.5e-06,0,0,0,0,0,0,0,-0.000698,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000788,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.5e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001704614,0,0,0.002119319,0.0,0.0,0.008470408,-6.5e-06,0,0,0,0.000231,1e-05,0,0,0.0,0.0,0.0,0,0,-2.6e-05,0,0.0,0,0,0.0,0,-0.012207459,0,0,0.0,0,0,0,0,-0.000752,0.0,0,0,-6.5e-06,0,-6.5e-06,0.0,0,0.0,0.0,0,0,0.045849392,0.0,0,0,0.0,0,-6.5e-06,0,0.0,0,0.002099319,0.002099319,0.002099319,0,0,-6.5e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1070,51,0,0,0,0,0.0,0,0,0,0,0,-7.05e-06,0,0,0.0,0.002276341,0.0,0,0,0,0.0,0,0,0,-0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-7.05e-06,0,0,0,0,0,0,0,-0.000881,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.000855,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-7.05e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.001848353,0,0,0.002296341,0.0,0.0,0.008937143,-7.05e-06,0,0,0,0.000375,1e-05,0,0,0.0,-2.82e-05,0.0,0,0,0.0,0,0.0,0,0,0.0,0,-0.013113076,0,0,0.0,0,0,0,0,-0.000816,0.0,0,0,-7.05e-06,0,-7.05e-06,0.0,0,0.0,0.0,0,0,0.050578951,0.0,0,0,0.0,0,-7.05e-06,0,0.0,0,0.002276341,0.002276341,0.002276341,0,0,-7.05e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-0.000123,0,0,0
